iter	Logloss
0	0.6198321478
1	0.5526802144
2	0.4982758412
3	0.4632868552
4	0.4253446622
5	0.3945606809
6	0.3754272668
7	0.3625220251
8	0.3486588608
9	0.338162623
10	0.327322365
11	0.3197926639
12	0.3123993334
13	0.3037354896
14	0.2977646885
15	0.2834978964
16	0.2796562549
17	0.2734110388
18	0.2690323417
19	0.2641170694
20	0.2607372986
21	0.2538152313
22	0.2507656638
23	0.2458347355
24	0.2424854949
25	0.2363180083
26	0.2333663418
27	0.2279022172
28	0.2248550293
29	0.2227772767
30	0.2197309261
31	0.2167883648
32	0.2135944939
33	0.210837531
34	0.2074857192
35	0.203816534
36	0.1994220485
37	0.1969575157
38	0.1952665257
39	0.1930017697
40	0.190192241
41	0.1877297033
42	0.185242064
43	0.1826634029
44	0.1796771482
45	0.1774121454
46	0.1752649122
47	0.1734882092
48	0.1718920875
49	0.169980851
50	0.1684600136
51	0.1664027793
52	0.1636251469
53	0.162209152
54	0.160241873
55	0.1590487207
56	0.1570573695
57	0.1555231228
58	0.1531863697
59	0.1518296978
60	0.1494504505
61	0.147358357
62	0.1455618096
63	0.1439437469
64	0.1429033842
65	0.1414773906
66	0.139924533
67	0.1376819827
68	0.1364948911
69	0.1352002018
70	0.1338233383
71	0.1320075658
72	0.1306987536
73	0.1294554688
74	0.1278533409
75	0.1263712114
76	0.1252120638
77	0.1239266466
78	0.122638675
79	0.1216905429
80	0.120283324
81	0.118395785
82	0.1166569332
83	0.1154669038
84	0.1144054017
85	0.1134238376
86	0.1119653515
87	0.1104269015
88	0.1091995894
89	0.1081665264
90	0.1068447354
91	0.1051632661
92	0.1040807631
93	0.1030949425
94	0.1007928511
95	0.09982040913
96	0.09838817534
97	0.0972856634
98	0.0959026012
99	0.09485495493
100	0.09382366033
101	0.09235185987
102	0.09139500261
103	0.0904607496
104	0.08934392642
105	0.08794291934
106	0.08668558835
107	0.08552519459
108	0.08447861325
109	0.08371876274
110	0.08276488786
111	0.0818393251
112	0.08099543232
113	0.07988782374
114	0.07900833645
115	0.07822349584
116	0.07717033953
117	0.07641109871
118	0.07571408771
119	0.07461418256
120	0.07375502785
121	0.07273899777
122	0.07208491155
123	0.07117661731
124	0.07041757155
125	0.06951952871
126	0.06822972943
127	0.06749544222
128	0.06647292407
129	0.06575336504
130	0.06468042613
131	0.06390334716
132	0.06330630204
133	0.06223000056
134	0.06137027719
135	0.0607597355
136	0.05996688148
137	0.05931492649
138	0.05858309635
139	0.05785706078
140	0.05732085844
141	0.056564218
142	0.05586739425
143	0.05525528868
144	0.05448601941
145	0.05361541577
146	0.05297748775
147	0.0522752485
148	0.05179007096
149	0.05117511387
150	0.0504395753
151	0.04982153615
152	0.04915103445
153	0.04864174417
154	0.04807997854
155	0.04763924188
156	0.04684220947
157	0.04653060282
158	0.04596008726
159	0.04551699273
160	0.04512885495
161	0.04463996382
162	0.04394851398
163	0.04348756502
164	0.04313145483
165	0.04258665047
166	0.04193432714
167	0.04158001171
168	0.04104274247
169	0.04066318456
170	0.04021609856
171	0.03961240131
172	0.0392109709
173	0.03886159142
174	0.03862180803
175	0.038213195
176	0.03775944925
177	0.03738790239
178	0.03691710722
179	0.0364412104
180	0.03619678731
181	0.03576485061
182	0.03541041525
183	0.03503641627
184	0.03471512577
185	0.03425914976
186	0.03394539449
187	0.03360575737
188	0.03319571681
189	0.03285931783
190	0.03251993579
191	0.03225318684
192	0.0318406489
193	0.03153434947
194	0.03129662047
195	0.03099172975
196	0.0307255267
197	0.030380585
198	0.03012188878
199	0.02978490166
200	0.029524277
201	0.02922634016
202	0.02893478974
203	0.02865648954
204	0.02825263818
205	0.02797094386
206	0.02767336784
207	0.02733250736
208	0.02707388221
209	0.02676650333
210	0.02649529232
211	0.02637315569
212	0.02615833771
213	0.02590586782
214	0.02556539807
215	0.02526243002
216	0.02500722309
217	0.02469937714
218	0.02446033859
219	0.02425798713
220	0.02411555742
221	0.02394397192
222	0.02371545933
223	0.02353260864
224	0.02330097576
225	0.02308385359
226	0.02288040992
227	0.02271291793
228	0.02249669087
229	0.02232517793
230	0.02220384806
231	0.02199250514
232	0.02181634333
233	0.02161892389
234	0.02146949816
235	0.02121121877
236	0.02099585018
237	0.02078402319
238	0.02059609712
239	0.02039118325
240	0.02019528335
241	0.02001940963
242	0.01984679985
243	0.019677252
244	0.01944060001
245	0.01918182163
246	0.01896783864
247	0.01873229444
248	0.01858281314
249	0.01835541544
250	0.01807237806
251	0.01791937976
252	0.01776704896
253	0.01766166164
254	0.01751442744
255	0.01737120589
256	0.01725961792
257	0.01708870068
258	0.01691525179
259	0.01679828912
260	0.01667325898
261	0.01646801013
262	0.01635423161
263	0.01625794329
264	0.0161418408
265	0.01598155504
266	0.01584688203
267	0.01568898897
268	0.01552218552
269	0.01539218721
270	0.0153207546
271	0.01514572038
272	0.01493783107
273	0.01485913737
274	0.01476175808
275	0.01468349471
276	0.01453928336
277	0.01441198936
278	0.01430393431
279	0.01421021929
280	0.01408859817
281	0.0139418151
282	0.01379199995
283	0.01370409268
284	0.01354925297
285	0.0134879574
286	0.01339669028
287	0.01329291535
288	0.01319909816
289	0.01306704596
290	0.01297589003
291	0.01286645885
292	0.01276929056
293	0.01262897557
294	0.01252010362
295	0.01242994752
296	0.01228360849
297	0.01217403546
298	0.01205486332
299	0.01202319039
