title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
UXUI Designer,USER EXPERIENCE RESEARCHERS PTE. LTD.,MCF-2023-0568119,"User Experience Researchers Singapore (USER) is a pioneer digital solutions firm based in Singapore and established in 2010. One of the country’s leading UI/UX agencies, our wide range of expertise covers UX Research and Design, Web and Mobile Application Development, Digital Transformation, and Digital Marketing. Our success in delivering effective solutions for businesses led to our expansion across Southeast Asia, with our talent acquisition gaining ground in China, Vietnam, and the Philippines.","PROXIMA@GAMBAS, 50 GAMBAS CRESCENT 757022","Contract, Full Time",Junior Executive,2 years exp,"Information Technology, Others",1,"['$2,800to$5,500']",Monthly,100 applications,Posted 28 Aug 2023,Closing on 27 Sep 2023,"Roles & Responsibilities
RESPONSIBILITIES:
Collaborate with design and development team to define and implement innovative solutions for the product direction, visuals and user experience.
Work closely with UX/UI design team to create compelling user experiences on mobile apps and websites.
Conduct user research and evaluate user feedback.
Liaise with the stakeholders to make effective decisions.
Write reports based on findings and feedbacks received from user research.
Assist in creating wireframes and mock-ups.
Proactive and have a sense of process ownership.
Proven ability to manage multiple design requests in a timely fashion, with competing priorities and deadlines
Employ design thinking and work with leadership in design planning, developing product strategies, establishing goals and execution plans
REQUIREMENTS:
Degree/Diploma in Art/Design, Creative Multimedia/ Advertising/ Media, Computer Science/ Information Technology or equivalent.
Minimum 3 years experience in UX/UI Design and familiar with visual design.
Strong understanding and passion for the customer usage journey.
Skills in Photoshop, Adobe Illustrator, Sketch or other visual and icon design and wireframing tools will be an advantage.
Good English oral and written communication skills.
Please attached your interactive portfolio in resume."
Senior UXUI Designer,USER EXPERIENCE RESEARCHERS PTE. LTD.,MCF-2023-0568114,"User Experience Researchers Singapore (USER) is a pioneer digital solutions firm based in Singapore and established in 2010. One of the country’s leading UI/UX agencies, our wide range of expertise covers UX Research and Design, Web and Mobile Application Development, Digital Transformation, and Digital Marketing. Our success in delivering effective solutions for businesses led to our expansion across Southeast Asia, with our talent acquisition gaining ground in China, Vietnam, and the Philippines.","PROXIMA@GAMBAS, 50 GAMBAS CRESCENT 757022","Contract, Full Time",Senior Executive,4 years exp,"Information Technology, Others",1,"['$5,000to$9,500']",Monthly,48 applications,Posted 28 Aug 2023,Closing on 27 Sep 2023,"Roles & Responsibilities
RESPONSIBILITIES:
Collaborate with design and development team to define and implement innovative solutions for the product direction, visuals and user experience.
Work closely with UX/UI design team to create compelling user experiences on mobile apps and websites.
Conduct user research and evaluate user feedback.
Liaise with the stakeholders to make effective decisions.
Write reports based on findings and feedbacks received from user research.
Assist in creating wireframes and mock-ups.
Proactive and have a sense of process ownership.
Proven ability to manage multiple design requests in a timely fashion, with competing priorities and deadlines
Employ design thinking and work with leadership in design planning, developing product strategies, establishing goals and execution plans
REQUIREMENTS:
Degree/Diploma in Art/Design, Creative Multimedia/ Advertising/ Media, Computer Science/ Information Technology or equivalent.
Minimum 3 years experience in UX/UI Design and familiar with visual design.
Strong understanding and passion for the customer usage journey.
Skills in Photoshop, Adobe Illustrator, Sketch or other visual and icon design and wireframing tools will be an advantage.
Good English oral and written communication skills.
Please attached your interactive portfolio in resume."
