title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Scientific Illustrator (Mechanobiology Institute),NATIONAL UNIVERSITY OF SINGAPORE,MCF-2023-0715727,"The National University of Singapore aspires to be a vital community of academics, researchers, staff, students and alumni working together in a spirit of innovation and enterprise for a better world. Our singular focus on talent will be the cornerstone of a truly great university that is dedicated to quality education, influential research and visionary enterprise, in service of country and society.",21 LOWER KENT RIDGE ROAD 119077,Full Time,Non-executive,,Advertising / Media,1,"['$2,200to$3,400']",Monthly,5 applications,Posted 19 Sep 2023,Closing on 03 Oct 2023,"Roles & Responsibilities
Interested applicants are invited to apply directly at the NUS Career Portal.
We regret that only shortlisted candidates will be notified.

Job Description
The Mechanobiology Institute (MBI), National University of Singapore is a Research Centre of Excellence dedicated to interrogating the biological systems from a physical and mechanical perspective. We are a multidisciplinary institute committed to developing new paradigms for biomedical research by focusing on the quantitative analysis of dynamic functional processes. Through quantitative biophysical approaches, we address major problems in biomedical sciences including pathogenesis (from bacterial to cancer), tissue regeneration, and function.
Our Science Communications team is currently looking for a scientific illustrator/ graphic designer to develop visual communications for MBI. Successful applicants will be required to create professional scientific figures, schematic illustrations, and presentations related to MBI research for both scientific and non-scientific audiences.
Responsibilities
Liaise with MBI researchers and administrative staff to create scientific illustrations and graphic designs from sketch or concept descriptions for publications in scientific journals, presentations, grant applications, and other visual communication requirements
Develop and maintain a professional illustration style to accurately represent MBI research
Provide illustration support for materials that promote MBI research in both printed and electronic media, including websites, videos, brochures, and posters
Support MBI’s outreach and conference events by providing organizational, communication, and audio/visual assistance
Qualifications
Candidates should hold a diploma or degree either in graphic design/scientific illustration, or in science or engineering with prior scientific illustration experience
Experience of scientific research and the ability to read and interpret scientific papers would be highly advantageous
Candidates should be proficient in vector-based illustration software, e.g. Adobe Illustrator
Experience in 3D modelling and animation would be advantageous
Candidates must be able to work independently and as part of a team on multiple projects under tight timelines
Flexibility and adaptability to work on different projects
Good analytical and organizational skills
Interested applicants are to invited to apply online at and submit a detailed CV and a portfolio of their previous works with their online application."
Illustrator Intern,OUR GRANDFATHER STORY PTE. LTD.,MCF-2023-0683967,"OGS is a digital publisher dedicated to uncovering timeless and overlooked stories across Southeast Asia. Through authentic storytelling and candid perspectives, we explore society, culture and the human condition to connect and inspire the region. Since 2017, we’ve journeyed across Singapore and beyond to share everything from light-hearted stories of unexpected friendships to no-holds-barred conversations with persons with disabilities — and we’ve barely scratched the surface.","VICTORY CENTRE, 110 LORONG 23 GEYLANG 388410",Internship/Attachment,Fresh/entry level,,"Advertising / Media, Design, Others",1,"['$800to$1,000']",Monthly,24 applications,Posted 07 Sep 2023,Closing on 07 Oct 2023,"Roles & Responsibilities
The illustrator intern will create custom content for its verticals and related social platforms. We’re seeking a creative-minded artist who is passionate about digital media. Candidates should be interested in what makes someone share and how people communicate online.
The illustrator intern will have the opportunity to design, pitch, animate and deliver illustrations and webcomics which support marketing, production and programming initiatives.

Responsibilities:
Functions as a member of the creative team
Creates illustrations projects needed by clients and editorial team
Creates illustrations and webcomics utilizing design skills and a good sense of timing and motion
Works directly with Director to resolve issues related to concept, design, deadlines, and priorities
Assist the microcontent team in creating animation assets and comic illustrations
Requirements:
Proficient with Photoshop and Illustrator (After Effects, Premiere Pro and Audition a plus)
Ability to shape a story with graphics and illustrations
Interest in telling local stories, documentaries and explainers
Detail oriented, organized and able to work independently
Team player with a positive attitude and great work ethic who understands how and when to be proactive
Strong creative thinking, with a range of styles
Good understanding of social media content and creative execution in the digital marketing landscape"
Graphic Designer & Illustrator,STALFORD EDUCATION HOLDINGS PTE. LTD.,MCF-2023-0595410,"Stalford Education Holdings has two decades of experience in Singapore’s private education industry, and currently offers quality education to students aged 2 months to 18 years old in Singapore and across Asia. It owns several educational brands including Stalford Learning Centre, Confucius Mandarin, Literacy Alive, Heurika Institute of Mathematics, Sciencewerkz, Stalford Academy, Stalford International School, Stalford International Pre-School, and SuperGenius Preschool. With a dedicated team of qualified and experienced teachers, and its own unique brand of teaching pedagogy, Stalford has helped thousands of students excel academically and enter world-class tertiary institutions.","APERIA, 12 KALLANG AVENUE 339511","Contract, Full Time",Executive,3 years exp,Advertising / Media,1,"['$2,600to$4,000']",Monthly,107 applications,Posted 06 Sep 2023,Closing on 06 Oct 2023,"Roles & Responsibilities
We are currently looking for a responsible and creative Graphic Designer / Illustrator to join our team. Duties and responsibilities include:
Designing and producing English and Chinese marketing materials in both print and web media
Drawing illustrations for written curriculum
Assisting in distribution and installation of marketing materials
Taking and editing photographs
Interviewing students for testimonials
Documenting student and teacher profiles
Liaising with relevant business partners and vendors

Requirements:
A recognised Diploma/Degree in a relevant field
At least three years of relevant experience
Skilled with Adobe Creative Suite
Good organisational and communication skills"
Illustrator,OXYGEN STUDIO DESIGNS PTE. LTD.,MCF-2023-0499966,"OXYGEN STUDIO DESIGNS PTE. LTD is a creative agency with a strong portfolio in museum thematic designs and publications. We conceptualizes an idea, presents it and executes it. We are looking to expand our team with talented, creative and enthusiastic professionals.","GEMINI @ SIMS, 2 SIMS CLOSE 387298",Full Time,Junior Executive,1 year exp,Design,1,"['$2,000to$3,500']",Monthly,101 applications,Posted 04 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
Job Description
Develop visual ideas with art directors for design briefs and projects.
Seek client approval for ideas with rough visuals - this stage may involve going back to the drawing board several times to rework sketches.
Using drawing, sketching, painting and digital imaging skills to produce illustrations.
Ability to do vector drawing and icons for infographics is preferred.
Requirements:
Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma
At least 1 Year(s) of working experience in the related field is required for this position.
Preferably Junior Executive specialized in Arts/Creative/Graphics Design or equivalent."
